Feature,Importance
accel_z_std,0.03561912899382261
accel_z_range,0.031207199870278396
jerk_std,0.030213500331140862
jerk_mean,0.02904145843548199
accel_mag_max,0.028965549753403933
accel_z_min,0.028162452290907816
accel_mag_std,0.026253190065180756
accel_y_skew,0.025315081803788723
accel_mag_range,0.02380902341435836
accel_y_mean,0.022906382185666308
accel_x_std,0.021915388691063912
gyro_mag_mean,0.020686839777421553
gyro_y_zcr,0.020067535462492216
gyro_x_abs_max,0.019857164692188324
gyro_x_mean,0.019821259243100197
gyro_y_mean,0.019788593956579156
accel_z_max,0.01977332422904943
gyro_energy,0.01936714463964032
gyro_x_std,0.019171059277613714
accel_z_skew,0.018577805963642714
accel_mag_skew,0.017681380788479133
gyro_z_mean,0.017398160428630273
accel_mag_kurtosis,0.016305573071609753
accel_x_skew,0.01601644150479192
accel_z_mean,0.016001764725883404
accel_y_min,0.015889732150626515
peak_position,0.015889144436242682
jerk_max,0.015874961001887643
accel_z_median,0.015730303355817172
accel_x_mean,0.015696705005286787
gyro_x_max,0.015611041554151241
accel_x_max,0.01528571236239977
gyro_y_min,0.015104954447067592
gyro_y_range,0.01412791089774881
gyro_z_min,0.013952537428655019
accel_z_kurtosis,0.01377707482826848
gyro_x_range,0.013674024073511487
accel_x_range,0.013480481017734582
accel_y_std,0.013264749557208995
gyro_y_std,0.01317872234371867
accel_x_kurtosis,0.013029418697852705
gyro_y_abs_max,0.012391758335990129
gyro_z_abs_max,0.011759948690544674
gyro_mag_max,0.011680656356432022
gyro_z_range,0.011482879630377226
accel_mag_min,0.011142148290653145
accel_y_median,0.011124683142309202
gyro_x_zcr,0.01110638155620379
accel_x_min,0.011033900955399988
accel_y_range,0.010585992311665526
accel_x_median,0.010530336941762752
gyro_y_max,0.01043218290346373
accel_energy,0.00965456187448558
accel_y_max,0.009495818702645256
accel_y_kurtosis,0.009437027467940722
accel_mag_median,0.009371567409374065
gyro_z_std,0.008858649728109253
gyro_x_min,0.008591241012034307
gyro_z_zcr,0.00806021357610786
gyro_z_max,0.008043828456445336
accel_mag_mean,0.007726345903661541
